Run Directory,Fitness,Model,ofv,success,covar,correlation #,ntheta,nomega,nsigm,condition,RPenalty,PythonPenalty,NMTran messages
C:\fda\pydarwin\examples\example3\0\19,4695.852813,01100,4673.85281327587,True,True,True,5,4,2,66000.70827277504,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\18,3799.293956,00100,3781.29395583575,True,True,True,4,3,2,4147.642689097812,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\2,3399.444817,10000,3383.44481746861,True,True,True,3,3,2,9.777610156636484,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\0,3797.827260,00000,3781.82726009978,True,True,True,3,3,2,384.606192817056,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\1,4027.404715,01000,4007.40471452471,True,True,True,4,4,2,1699.342443220481,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\4,3403.438344,20000,3383.43834420942,True,True,True,4,4,2,-6319893783962803.0,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\22,3405.689652,20100,3383.68965223725,True,True,True,5,4,2,-1.4745397829059174e+16,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\36,3657.726953,00200,3637.72695258731,True,True,True,4,4,2,261.29857280312586,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\24,3119.800874,30100,3093.80087407318,True,True,True,6,5,2,21.23592538268213,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\20,3401.706530,10100,3383.70652991649,True,True,True,4,3,2,9.777729082049076,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\6,3117.280202,30000,3093.2802020014,True,True,True,5,5,2,21.29432346742968,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\21,3505.978796,11100,3383.97879576744,False,True,True,5,4,2,188145.99724821362,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\3,3503.737880,11000,3383.73788045138,False,True,True,4,4,2,187515.44336053665,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\37,3669.513055,01200,3645.51305461598,True,True,True,5,5,2,576384.3971420646,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\38,3349.660154,10200,3329.66015415804,True,True,True,4,4,2,604.0370126972888,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\26,2962.481594,40100,2936.48159352711,True,True,True,6,5,2,19.37882215013127,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\8,2896.586548,40000,2872.58654777817,True,True,True,5,5,2,21.38365698787577,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\23,3431.604342,21100,3305.60434166571,False,True,True,6,5,2,213608.25060367782,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\5,3428.838441,21000,3304.83844109527,False,True,True,5,5,2,238922.5343369222,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\40,99999999999.000000,20200,99999999999,False,False,False,5,5,2,99999999999,0,0,No important warnings
