Iteration,Model number,Run Directory,Fitness,Model,ofv,success,covar,correlation #,ntheta,nomega,nsigm,condition,RPenalty,PythonPenalty,NMTran messages
1,03,C:\Users\jcraig\pydarwin\Example2\temp\1\03,5902.759917,0100120401,5582.75990679142,True,True,False,6,5,1,4.784914425321329e+16,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
1,04,C:\Users\jcraig\pydarwin\Example2\temp\1\04,4945.647849,0001010310,4725.647848979854,True,True,False,6,4,2,273.132076164789,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
1,01,C:\Users\jcraig\pydarwin\Example2\temp\1\01,6005.504270,1110100211,5575.504270433393,True,False,False,8,4,1,99999999,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
1,02,C:\Users\jcraig\pydarwin\Example2\temp\1\02,4971.151377,0110111320,4721.151366826803,True,True,False,8,5,2,123.07555455338363,0,0,No important warnings
1,05,C:\Users\jcraig\pydarwin\Example2\temp\1\05,5081.480931,0011121400,4721.48093095162,True,True,False,8,6,2,106815733.69399215,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
1,08,C:\Users\jcraig\pydarwin\Example2\temp\1\08,99999999.000000,2002000121,99999999,False,False,False,10,3,1,99999999,0,0,No important warnings
1,07,C:\Users\jcraig\pydarwin\Example2\temp\1\07,5895.805755,0101000321,5485.805744707391,False,True,False,6,4,1,554537.1043713699,0,0,No important warnings
1,06,C:\Users\jcraig\pydarwin\Example2\temp\1\06,5964.488112,1110111301,5804.488112258664,True,True,True,10,5,1,224.02369545697695,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
1,09,C:\Users\jcraig\pydarwin\Example2\temp\1\09,4848.225283,1010021210,4708.225282699447,True,True,True,8,4,2,625.1551061251637,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
1,10,C:\Users\jcraig\pydarwin\Example2\temp\1\10,5922.626978,1002001321,5482.626978227299,False,True,False,9,4,1,425991.52733489027,0,0,No important warnings
2,01,C:\Users\jcraig\pydarwin\Example2\temp\2\01,99999999.000000,2000121021,99999999,False,False,False,12,2,1,99999999,0,0,No important warnings
2,04,C:\Users\jcraig\pydarwin\Example2\temp\2\04,99999999.000000,2010010321,99999999,False,False,False,10,5,1,99999999,0,0,No important warnings
2,05,C:\Users\jcraig\pydarwin\Example2\temp\2\05,99999999.000000,2111010001,99999999,False,False,False,11,3,1,99999999,0,0,No important warnings
2,03,C:\Users\jcraig\pydarwin\Example2\temp\2\03,5813.153242,1102001101,5583.153242484797,True,True,False,9,3,1,502.40024152805034,0,0,No important warnings
2,06,C:\Users\jcraig\pydarwin\Example2\temp\2\06,4827.564351,1001001000,4707.564351311975,True,True,True,8,2,2,269.211891068262,0,0,No important warnings
2,07,C:\Users\jcraig\pydarwin\Example2\temp\2\07,99999999.000000,2101000301,99999999,False,False,False,10,4,1,99999999,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
2,02,C:\Users\jcraig\pydarwin\Example2\temp\2\02,5719.235169,1101011311,5469.235168856176,True,True,False,10,4,1,729.7285721657528,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
2,10,C:\Users\jcraig\pydarwin\Example2\temp\2\10,99999999.000000,2101111121,99999999,False,False,False,14,3,1,99999999,0,0,No important warnings
2,09,C:\Users\jcraig\pydarwin\Example2\temp\2\09,5658.316891,0112110011,5548.3168806492995,True,True,True,7,3,1,63.51581289878799,0,0,No important warnings
2,08,C:\Users\jcraig\pydarwin\Example2\temp\2\08,5907.995427,1012120221,5557.995426983266,True,True,False,10,4,1,68282.70736386359,0,0,No important warnings
3,04,C:\Users\jcraig\pydarwin\Example2\temp\3\02,99999999.000000,0011011300,99999999,False,False,False,0,0,0,99999999,0,0,
3,05,C:\Users\jcraig\pydarwin\Example2\temp\3\02,99999999.000000,0011011300,99999999,False,False,False,0,0,0,99999999,0,0,
3,06,C:\Users\jcraig\pydarwin\Example2\temp\3\06,5672.814431,0010001211,5572.814430829622,True,True,True,5,4,1,82.64981061894566,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
3,01,C:\Users\jcraig\pydarwin\Example2\temp\3\01,5697.750248,0012001201,5587.750248288422,True,True,True,6,4,1,33.11900819559468,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
3,03,C:\Users\jcraig\pydarwin\Example2\temp\3\03,4851.607566,0011011200,4721.607566214985,True,True,True,7,4,2,68.60271954952334,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
3,09,C:\Users\jcraig\pydarwin\Example2\temp\3\07,99999999.000000,0010011310,99999999,False,False,False,0,0,0,99999999,0,0,
3,10,C:\Users\jcraig\pydarwin\Example2\temp\3\07,99999999.000000,0010011310,99999999,False,False,False,0,0,0,99999999,0,0,
3,02,C:\Users\jcraig\pydarwin\Example2\temp\3\02,4861.609074,0011011300,4721.609074212652,True,True,True,7,5,2,67.78621983839938,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
3,07,C:\Users\jcraig\pydarwin\Example2\temp\3\07,5059.830553,0010011310,4729.830553461097,True,True,False,6,5,2,42201.519903973785,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
3,08,C:\Users\jcraig\pydarwin\Example2\temp\3\08,4961.128548,0010111310,4721.128548036456,True,True,False,7,5,2,308.2682963873168,0,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
4,02,C:\Users\jcraig\pydarwin\Example2\temp\4\01,99999999.000000,0011111310,99999999,False,False,False,0,0,0,99999999,0,0,
4,04,C:\Users\jcraig\pydarwin\Example2\temp\4\03,99999999.000000,0011111300,99999999,False,False,False,0,0,0,99999999,0,0,
4,06,C:\Users\jcraig\pydarwin\Example2\temp\4\03,99999999.000000,0011111300,99999999,False,False,False,0,0,0,99999999,0,0,
4,07,C:\Users\jcraig\pydarwin\Example2\temp\4\01,99999999.000000,0011111310,99999999,False,False,False,0,0,0,99999999,0,0,
4,08,C:\Users\jcraig\pydarwin\Example2\temp\4\03,99999999.000000,0011111300,99999999,False,False,False,0,0,0,99999999,0,0,
