Iteration,Model number,Run Directory,Fitness,Model,ofv,success,covar,correlation #,ntheta,nomega,nsigm,condition,RPenalty,PythonPenalty,NMTran messages
0,01,/home/CertaraUser/pydarwin/Example4/temp/0/01,99999999.000000,21010012001100000,99999999,False,False,False,0,0,0,99999999,99999999,0,No important warnings
0,03,/home/CertaraUser/pydarwin/Example4/temp/0/03,99999999.000000,20000112001101300,99999999,False,False,False,0,0,0,99999999,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
0,02,/home/CertaraUser/pydarwin/Example4/temp/0/02,99999999.000000,21011002101101021,99999999,False,False,False,0,0,0,99999999,99999999,0,No important warnings
0,07,/home/CertaraUser/pydarwin/Example4/temp/0/07,11660.922402,00021000111000201,11261.89188191938,True,True,False,9,5,1,145805.93964771228,49.0305203150713,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
0,04,/home/CertaraUser/pydarwin/Example4/temp/0/04,11485.240824,00120101101100401,11072.871781225063,True,True,False,9,7,1,394053.2115475268,42.3690425533701,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
0,06,/home/CertaraUser/pydarwin/Example4/temp/0/06,13148.005471,01000012100001221,12545.723520427655,False,True,False,8,5,1,2737.5197864848274,162.281940459076,0,No important warnings
0,09,/home/CertaraUser/pydarwin/Example4/temp/0/09,99999999.000000,20110102000001421,99999999,False,False,False,0,0,0,99999999,99999999,0,No important warnings
0,11,/home/CertaraUser/pydarwin/Example4/temp/0/11,99999999.000000,21010100110010221,99999999,False,False,False,0,0,0,99999999,99999999,0,No important warnings
0,12,/home/CertaraUser/pydarwin/Example4/temp/0/12,99999999.000000,21120102100110200,99999999,False,False,False,0,0,0,99999999,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
0,13,/home/CertaraUser/pydarwin/Example4/temp/0/13,99999999.000000,21001101000110320,99999999,False,False,False,0,0,0,99999999,99999999,0,No important warnings
0,14,/home/CertaraUser/pydarwin/Example4/temp/0/14,99999999.000000,20021100001011301,99999999,False,False,False,0,0,0,99999999,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
0,15,/home/CertaraUser/pydarwin/Example4/temp/0/15,99999999.000000,21100101010110211,99999999,False,False,False,0,0,0,99999999,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
0,16,/home/CertaraUser/pydarwin/Example4/temp/0/16,99999999.000000,21020101001010121,99999999,False,False,False,0,0,0,99999999,99999999,0,No important warnings
0,08,/home/CertaraUser/pydarwin/Example4/temp/0/08,9499.928670,11001110010110120,8985.762581725332,False,True,False,12,3,2,557901.1376961869,44.166087907561,0,No important warnings
0,05,/home/CertaraUser/pydarwin/Example4/temp/0/05,12788.754944,00020112000001421,12162.504757528115,False,True,False,9,7,1,1.8379732970515184e+16,156.250186049374,0,No important warnings
0,10,/home/CertaraUser/pydarwin/Example4/temp/0/10,16040.059490,01020012011000411,15438.031075075069,False,False,False,9,7,1,99999999,32.0284051729588,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
0,20,/home/CertaraUser/pydarwin/Example4/temp/0/20,99999999.000000,20020000010001121,99999999,False,False,False,0,0,0,99999999,99999999,0,No important warnings
0,17,/home/CertaraUser/pydarwin/Example4/temp/0/17,99999999.000000,11021101010000021,99999999,False,False,False,0,0,0,99999999,99999999,0,No important warnings
0,21,/home/CertaraUser/pydarwin/Example4/temp/0/21,99999999.000000,20100012110000311,99999999,False,False,False,0,0,0,99999999,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
0,22,/home/CertaraUser/pydarwin/Example4/temp/0/22,99999999.000000,20111102001110211,99999999,False,False,False,0,0,0,99999999,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
0,23,/home/CertaraUser/pydarwin/Example4/temp/0/23,99999999.000000,21011002000111101,99999999,False,False,False,0,0,0,99999999,99999999,0,No important warnings
0,24,/home/CertaraUser/pydarwin/Example4/temp/0/24,99999999.000000,21110011101011421,99999999,False,False,False,0,0,0,99999999,99999999,0,No important warnings
0,25,/home/CertaraUser/pydarwin/Example4/temp/0/25,99999999.000000,21100002011010220,99999999,False,False,False,0,0,0,99999999,99999999,0,No important warnings
0,26,/home/CertaraUser/pydarwin/Example4/temp/0/26,99999999.000000,10001100100110420,99999999,False,False,False,0,0,0,99999999,99999999,0,No important warnings
0,27,/home/CertaraUser/pydarwin/Example4/temp/0/27,99999999.000000,20111111000000220,99999999,False,False,False,0,0,0,99999999,99999999,0,No important warnings
0,19,/home/CertaraUser/pydarwin/Example4/temp/0/19,10924.846494,00001102001000420,10182.703615197863,False,False,False,9,7,2,99999999,162.142878559457,0,No important warnings
0,29,/home/CertaraUser/pydarwin/Example4/temp/0/29,99999999.000000,21020111100111320,99999999,False,False,False,0,0,0,99999999,99999999,0,No important warnings
0,30,/home/CertaraUser/pydarwin/Example4/temp/0/30,99999999.000000,21101111111111211,99999999,False,False,False,0,0,0,99999999,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
0,28,/home/CertaraUser/pydarwin/Example4/temp/0/28,99999999.000000,01000112011100221,99999999,False,False,False,0,0,0,99999999,99999999,0,No important warnings
0,32,/home/CertaraUser/pydarwin/Example4/temp/0/32,99999999.000000,21020002011111420,99999999,False,False,False,0,0,0,99999999,99999999,0,No important warnings
0,34,/home/CertaraUser/pydarwin/Example4/temp/0/34,99999999.000000,21110002101000321,99999999,False,False,False,0,0,0,99999999,99999999,0,No important warnings
0,18,/home/CertaraUser/pydarwin/Example4/temp/0/18,9525.712528,10110102000000320,8990.828430699425,False,True,False,10,7,2,180681092.41483214,44.8840977611784,0,No important warnings
0,33,/home/CertaraUser/pydarwin/Example4/temp/0/33,99999999.000000,11021010110001221,99999999,False,False,False,0,0,0,99999999,99999999,0,No important warnings
0,36,/home/CertaraUser/pydarwin/Example4/temp/0/36,99999999.000000,20110102100000020,99999999,False,False,False,0,0,0,99999999,99999999,0,No important warnings
0,37,/home/CertaraUser/pydarwin/Example4/temp/0/37,99999999.000000,20101002011011420,99999999,False,False,False,0,0,0,99999999,99999999,0,No important warnings
0,38,/home/CertaraUser/pydarwin/Example4/temp/0/38,99999999.000000,20020102010100221,99999999,False,False,False,0,0,0,99999999,99999999,0,No important warnings
0,40,/home/CertaraUser/pydarwin/Example4/temp/0/40,99999999.000000,20000111100011420,99999999,False,False,False,0,0,0,99999999,99999999,0,No important warnings
0,35,/home/CertaraUser/pydarwin/Example4/temp/0/35,99999999.000000,11021112101000401,99999999,False,False,False,0,0,0,99999999,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
0,42,/home/CertaraUser/pydarwin/Example4/temp/0/42,99999999.000000,00121012010001201,99999999,False,False,False,0,0,0,99999999,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
0,43,/home/CertaraUser/pydarwin/Example4/temp/0/43,99999999.000000,21001010110001321,99999999,False,False,False,0,0,0,99999999,99999999,0,No important warnings
0,41,/home/CertaraUser/pydarwin/Example4/temp/0/41,8996.198998,11021011100110300,8772.003619284767,True,True,True,12,4,2,40.21499774282315,44.1953790919014,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
0,45,/home/CertaraUser/pydarwin/Example4/temp/0/45,99999999.000000,21021112000101211,99999999,False,False,False,0,0,0,99999999,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
0,46,/home/CertaraUser/pydarwin/Example4/temp/0/46,12267.180633,01101000010101211,11904.568064021918,True,True,False,6,5,1,697.2020759513679,142.612559253586,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
0,31,/home/CertaraUser/pydarwin/Example4/temp/0/31,99999999.000000,11111000110000310,99999999,False,False,False,0,0,0,99999999,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
0,47,/home/CertaraUser/pydarwin/Example4/temp/0/47,99999999.000000,21010112101001120,99999999,False,False,False,0,0,0,99999999,99999999,0,No important warnings
0,49,/home/CertaraUser/pydarwin/Example4/temp/0/49,99999999.000000,21010010101000401,99999999,False,False,False,0,0,0,99999999,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
0,44,/home/CertaraUser/pydarwin/Example4/temp/0/44,9359.417692,10110002011111420,8990.147281759955,False,True,True,11,6,2,14.220843293290374,79.270410483756,0,No important warnings
0,39,/home/CertaraUser/pydarwin/Example4/temp/0/39,9314.678490,10021112110000010,8910.845153308876,False,True,False,13,4,2,803.8670880597874,13.8333365324492,0,No important warnings
0,51,/home/CertaraUser/pydarwin/Example4/temp/0/51,99999999.000000,21111012001010220,99999999,False,False,False,0,0,0,99999999,99999999,0,No important warnings
0,53,/home/CertaraUser/pydarwin/Example4/temp/0/53,99999999.000000,20010010010011401,99999999,False,False,False,0,0,0,99999999,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
0,52,/home/CertaraUser/pydarwin/Example4/temp/0/52,99999999.000000,00001102100110211,99999999,False,False,False,0,0,0,99999999,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
0,54,/home/CertaraUser/pydarwin/Example4/temp/0/54,99999999.000000,20120112001010420,99999999,False,False,False,0,0,0,99999999,99999999,0,No important warnings
0,56,/home/CertaraUser/pydarwin/Example4/temp/0/56,99999999.000000,20020102010000411,99999999,False,False,False,0,0,0,99999999,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
0,50,/home/CertaraUser/pydarwin/Example4/temp/0/50,9901.046883,00100012100011300,9479.044465600497,True,True,False,7,6,2,6084.339959705304,72.0024174037377,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
0,57,/home/CertaraUser/pydarwin/Example4/temp/0/57,99999999.000000,21110000011110420,99999999,False,False,False,0,0,0,99999999,99999999,0,No important warnings
0,58,/home/CertaraUser/pydarwin/Example4/temp/0/58,99999999.000000,21020012000010321,99999999,False,False,False,0,0,0,99999999,99999999,0,No important warnings
0,60,/home/CertaraUser/pydarwin/Example4/temp/0/60,99999999.000000,20120102110111400,99999999,False,False,False,0,0,0,99999999,99999999,0,NON-FIXED OMEGA NON-FIXED PARAMETER 
0,61,/home/CertaraUser/pydarwin/Example4/temp/0/61,99999999.000000,21121112000110321,99999999,False,False,False,0,0,0,99999999,99999999,0,No important warnings
