Model num,Fitness,Model,generation,ofv,success,covar,correlation #,ntheta,condition,RPenalty,PythonPenalty,NMTran messages
0,5783.451397,111011,0,5583.451397339267,True,True,True,7,200006787.2361291,0,,From saved model No important warnings
1,5736.422779,010001,0,5666.422778741536,True,True,True,4,17.129573033527212,0,,From saved model No important warnings
3,5882.632004,110101,0,5692.632003655813,True,True,True,5,1392573.1213445293,0,,From saved model No important warnings
4,4822.599672,100010,0,4732.599671912545,True,True,True,5,51.71855336223912,0,,From saved model No important warnings
5,5882.632004,110101,0,5692.632003655813,True,True,True,5,1392573.1213445293,0,,From saved model No important warnings
6,5673.451399,101011,0,5583.451398779233,True,True,True,6,72.1701345146513,0,,From saved model No important warnings
7,4873.612774,001000,0,4793.61277366451,True,True,True,4,4.184666809273302,0,,From saved model No important warnings
8,4885.430743,011100,0,4785.430742602432,True,True,True,5,8.022554959221322,0,,From saved model No important warnings
9,4824.659081,001010,0,4734.659081014956,True,True,True,5,54.23925438447327,0,,From saved model No important warnings
11,5846.422780,110001,0,5666.422779565473,True,True,True,5,40564276.614498354,0,,From saved model No important warnings
11,5846.422780,110001,0,5666.422779565473,True,True,True,5,40564276.614498354,0,,From saved model No important warnings
9,4824.659081,001010,0,4734.659081014956,True,True,True,5,54.23925438447327,0,,From saved model No important warnings
9,4824.659081,001010,0,4734.659081014956,True,True,True,5,54.23925438447327,0,,From saved model No important warnings
2,5689.205709,010111,0,5599.205709164732,True,True,True,5,44.26766758857518,0,0,No important warnings
2,5689.205709,010111,0,5599.205709164732,True,True,True,5,44.26766758857518,0,0,No important warnings
10,5689.205709,010111,0,5599.205709164732,True,True,True,5,44.26766758857518,0,0,No important warnings
10,5689.205709,010111,0,5599.205709164732,True,True,True,5,44.26766758857518,0,0,No important warnings
0,4828.765370,000110,1,4738.765369536232,True,True,True,4,165.37613705789946,0,,From saved model No important warnings
1,4828.765370,000110,1,4738.765369536232,True,True,True,4,165.37613705789946,0,,From saved model No important warnings
2,4834.624586,001110,1,4734.624585991721,True,True,True,5,57.16864980706972,0,,From saved model No important warnings
3,4828.765370,000110,1,4738.765369536232,True,True,True,4,165.37613705789946,0,,From saved model No important warnings
4,4828.765370,000110,1,4738.765369536232,True,True,True,4,165.37613705789946,0,,From saved model No important warnings
5,4828.765370,000110,1,4738.765369536232,True,True,True,4,165.37613705789946,0,,From saved model No important warnings
6,4828.765370,000110,1,4738.765369536232,True,True,True,4,165.37613705789946,0,,From saved model No important warnings
7,4828.765370,000110,1,4738.765369536232,True,True,True,4,165.37613705789946,0,,From saved model No important warnings
8,4828.765370,000110,1,4738.765369536232,True,True,True,4,165.37613705789946,0,,From saved model No important warnings
8,4828.765370,000110,1,4738.765369536232,True,True,True,4,165.37613705789946,0,,From saved model No important warnings
9,4828.765370,000110,1,4738.765369536232,True,True,True,4,165.37613705789946,0,,From saved model No important warnings
9,4828.765370,000110,1,4738.765369536232,True,True,True,4,165.37613705789946,0,,From saved model No important warnings
10,4828.765370,000110,1,4738.765369536232,True,True,True,4,165.37613705789946,0,,From saved model No important warnings
10,4828.765370,000110,1,4738.765369536232,True,True,True,4,165.37613705789946,0,,From saved model No important warnings
11,4828.765370,000110,1,4738.765369536232,True,True,True,4,165.37613705789946,0,,From saved model No important warnings
11,4828.765370,000110,1,4738.765369536232,True,True,True,4,165.37613705789946,0,,From saved model No important warnings
0,4873.612774,001000,2,4793.61277366451,True,True,True,4,4.184666809273302,0,,From saved model No important warnings
3,5734.664617,001001,2,5664.66461651907,True,True,True,4,20.04455824712298,0,,From saved model No important warnings
4,4875.430415,101000,2,4785.430414988528,True,True,True,5,8.10167376909068,0,,From saved model No important warnings
5,4873.612774,001000,2,4793.61277366451,True,True,True,4,4.184666809273302,0,,From saved model No important warnings
6,4875.430415,101000,2,4785.430414988528,True,True,True,5,8.10167376909068,0,,From saved model No important warnings
7,4875.430415,101000,2,4785.430414988528,True,True,True,5,8.10167376909068,0,,From saved model No important warnings
8,4875.430415,101000,2,4785.430414988528,True,True,True,5,8.10167376909068,0,,From saved model No important warnings
9,4875.430415,101000,2,4785.430414988528,True,True,True,5,8.10167376909068,0,,From saved model No important warnings
10,5760.342774,011101,2,5670.34277394497,True,True,True,5,23.84852763444175,0,,From saved model No important warnings
10,5760.342774,011101,2,5670.34277394497,True,True,True,5,23.84852763444175,0,,From saved model No important warnings
1,5753.195954,001101,2,5673.195954419792,True,True,True,4,23.859920270789715,0,0,No important warnings
1,5753.195954,001101,2,5673.195954419792,True,True,True,4,23.859920270789715,0,0,No important warnings
2,4885.430742,101100,2,4785.430742336881,True,True,True,5,8.12990472171795,0,0,No important warnings
2,4885.430742,101100,2,4785.430742336881,True,True,True,5,8.12990472171795,0,0,No important warnings
11,4885.430742,101100,2,4785.430742336881,True,True,True,5,8.12990472171795,0,0,No important warnings
11,4885.430742,101100,2,4785.430742336881,True,True,True,5,8.12990472171795,0,0,No important warnings
0,5673.472028,011111,3,5573.472028461076,True,True,True,6,39.8672461179001,0,,From saved model No important warnings
1,5673.472028,011111,3,5573.472028461076,True,True,True,6,39.8672461179001,0,,From saved model No important warnings
2,5673.472028,011111,3,5573.472028461076,True,True,True,6,39.8672461179001,0,,From saved model No important warnings
3,5673.472028,011111,3,5573.472028461076,True,True,True,6,39.8672461179001,0,,From saved model No important warnings
4,5673.472028,011111,3,5573.472028461076,True,True,True,6,39.8672461179001,0,,From saved model No important warnings
5,5673.472028,011111,3,5573.472028461076,True,True,True,6,39.8672461179001,0,,From saved model No important warnings
6,5673.472028,011111,3,5573.472028461076,True,True,True,6,39.8672461179001,0,,From saved model No important warnings
7,5689.205709,010111,3,5599.205709164732,True,True,True,5,44.26766758857518,0,,From saved model No important warnings
8,5673.472028,011111,3,5573.472028461076,True,True,True,6,39.8672461179001,0,,From saved model No important warnings
8,5673.472028,011111,3,5573.472028461076,True,True,True,6,39.8672461179001,0,,From saved model No important warnings
9,5673.472028,011111,3,5573.472028461076,True,True,True,6,39.8672461179001,0,,From saved model No important warnings
9,5673.472028,011111,3,5573.472028461076,True,True,True,6,39.8672461179001,0,,From saved model No important warnings
10,5673.472028,011111,3,5573.472028461076,True,True,True,6,39.8672461179001,0,,From saved model No important warnings
10,5673.472028,011111,3,5573.472028461076,True,True,True,6,39.8672461179001,0,,From saved model No important warnings
11,5673.472028,011111,3,5573.472028461076,True,True,True,6,39.8672461179001,0,,From saved model No important warnings
11,5673.472028,011111,3,5573.472028461076,True,True,True,6,39.8672461179001,0,,From saved model No important warnings
0,4818.765529,000010,4,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
1,4818.765529,000010,4,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
2,4818.765529,000010,4,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
3,4818.765529,000010,4,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
4,4818.765529,000010,4,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
5,4818.765529,000010,4,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
6,4818.765529,000010,4,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
7,4818.765529,000010,4,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
8,4818.765529,000010,4,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
8,4818.765529,000010,4,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
9,4818.765529,000010,4,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
9,4818.765529,000010,4,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
10,4818.765529,000010,4,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
10,4818.765529,000010,4,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
11,4818.765529,000010,4,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
11,4818.765529,000010,4,4738.765528670225,True,True,True,4,50.903489057726674,0,,From saved model No important warnings
0,5669.313713,001011,5,5589.313712621895,True,True,True,5,70.40258456334769,0,,From saved model No important warnings
1,5669.313713,001011,5,5589.313712621895,True,True,True,5,70.40258456334769,0,,From saved model No important warnings
2,5669.313713,001011,5,5589.313712621895,True,True,True,5,70.40258456334769,0,,From saved model No important warnings
3,5669.313713,001011,5,5589.313712621895,True,True,True,5,70.40258456334769,0,,From saved model No important warnings
4,5669.313713,001011,5,5589.313712621895,True,True,True,5,70.40258456334769,0,,From saved model No important warnings
5,5669.313713,001011,5,5589.313712621895,True,True,True,5,70.40258456334769,0,,From saved model No important warnings
