Iteration,Model number,Run Directory,Fitness,Model,ofv,success,covar,correlation #,ntheta,nomega,nsigm,condition,RPenalty,PythonPenalty,NMTran messages
0,001,Example3/temp/0/001,4098.036546,00000,3782.036546049293,True,False,False,3,3,2,99999999999,0,0,No important warnings
0,002,Example3/temp/0/002,4027.413625,01000,4007.413625117504,True,True,True,4,4,2,1690.9822471666064,0,0,No important warnings
0,003,Example3/temp/0/003,3399.470929,10000,3383.470929170575,True,True,True,3,3,2,9.666766108013945,0,0,No important warnings
0,004,Example3/temp/0/004,3503.898265,11000,3383.8982649527343,False,True,True,4,4,2,204717.4310558466,0,0,No important warnings
0,005,Example3/temp/0/005,3703.438429,20000,3383.438429261015,True,False,False,4,4,2,99999999999,0,0,No important warnings
0,006,Example3/temp/0/006,3728.582399,21000,3304.5823989063047,False,False,False,5,5,2,99999999999,0,0,No important warnings
0,007,Example3/temp/0/007,3117.300584,30000,3093.300584152447,True,True,True,5,5,2,21.357245485895685,0,0,No important warnings
0,008,Example3/temp/0/008,3581.841675,31000,3153.8416748793798,False,False,False,6,6,2,99999999999,0,0,No important warnings
0,009,Example3/temp/0/009,2896.579797,40000,2872.5797969583505,True,True,True,5,5,2,21.196559696298458,0,0,No important warnings
0,010,Example3/temp/0/010,3363.791618,41000,2935.7916183684692,False,False,False,6,6,2,99999999999,0,0,No important warnings
0,011,Example3/temp/0/011,3263.584987,50000,2935.584987481571,True,False,False,6,6,2,99999999999,0,0,No important warnings
0,012,Example3/temp/0/012,3365.406676,51000,2933.4066763657625,False,False,False,7,7,2,99999999999,0,0,No important warnings
0,013,Example3/temp/0/013,3346.344890,60000,3014.34489019968,True,False,False,7,7,2,99999999999,0,0,No important warnings
0,014,Example3/temp/0/014,3346.330731,61000,2910.3307312812635,False,False,False,8,8,2,99999999999,0,0,No important warnings
0,015,Example3/temp/0/015,2841.483298,70000,2809.4832981972886,True,True,True,7,7,2,3135.5466990095633,0,0,No important warnings
0,016,Example3/temp/0/016,3367.505295,71000,2931.50529477228,False,False,False,8,8,2,99999999999,0,0,No important warnings
0,017,Example3/temp/0/017,3263.140846,80000,2927.1408460777643,True,False,False,8,8,2,99999999999,0,0,No important warnings
0,018,Example3/temp/0/018,3368.850183,81000,2928.850183292854,False,False,False,9,9,2,99999999999,0,0,No important warnings
0,019,Example3/temp/0/019,4099.668188,00100,3781.6681879212074,True,False,False,4,3,2,99999999999,0,0,No important warnings
0,020,Example3/temp/0/020,4104.954632,01100,3782.954632439521,True,False,False,5,4,2,99999999999,0,0,No important warnings
0,021,Example3/temp/0/021,3401.689352,10100,3383.68935163332,True,True,True,4,3,2,9.798707394942635,0,0,No important warnings
0,022,Example3/temp/0/022,3706.126569,11100,3384.1265688467843,True,False,False,5,4,2,99999999999,0,0,No important warnings
0,023,Example3/temp/0/023,3705.685169,20100,3383.685168667639,True,False,False,5,4,2,99999999999,0,0,No important warnings
0,024,Example3/temp/0/024,3730.903867,21100,3304.9038672963898,False,False,False,6,5,2,99999999999,0,0,No important warnings
0,025,Example3/temp/0/025,3419.779337,30100,3093.779337353294,True,False,False,6,5,2,99999999999,0,0,No important warnings
0,026,Example3/temp/0/026,3683.488920,31100,3353.488919909707,True,False,False,7,6,2,99999999999,0,0,No important warnings
0,027,Example3/temp/0/027,3262.475126,40100,2936.4751258660394,True,False,False,6,5,2,99999999999,0,0,No important warnings
0,028,Example3/temp/0/028,3366.980096,41100,2936.9800964560263,False,False,False,7,6,2,99999999999,0,0,No important warnings
0,029,Example3/temp/0/029,2962.964380,50100,2932.9643795800957,True,True,True,7,6,2,63.40015471723747,0,0,No important warnings
0,030,Example3/temp/0/030,3268.527369,51100,2934.5273687931417,True,False,False,8,7,2,99999999999,0,0,No important warnings
0,031,Example3/temp/0/031,3368.613681,60100,3034.6136807846415,True,False,False,8,7,2,99999999999,0,0,No important warnings
0,032,Example3/temp/0/032,4296.547337,61100,3858.5473369010183,False,False,False,9,8,2,99999999999,0,0,No important warnings
0,033,Example3/temp/0/033,3088.347194,70100,2754.347194185381,True,False,False,8,7,2,99999999999,0,0,No important warnings
