Run Directory,Fitness,Model,ofv,success,covar,correlation #,ntheta,nomega,nsigm,condition,RPenalty,PythonPenalty,NMTran messages
C:\fda\pyDarwin\examples\THREELEVELS\0\1,4833.131795,00000,4713.131795251603,True,True,True,8,2,2,685.99975584063,0,0,From saved model NM_0_1.mod: No important warnings
C:\fda\pyDarwin\examples\THREELEVELS\0\2,4818.488259,01000,4718.488248737599,True,True,True,6,2,2,243.16111075688517,0,0,From saved model NM_0_2.mod: No important warnings
C:\fda\pyDarwin\examples\THREELEVELS\0\4,4818.765553,11000,4738.7655425622415,True,True,True,4,2,2,50.81718176359398,0,0,From saved model NM_0_4.mod: No important warnings
C:\fda\pyDarwin\examples\THREELEVELS\0\3,4818.765563,10000,4738.7655425622415,True,True,True,4,2,2,50.81718176359398,0,0,From saved model NM_0_3.mod: No important warnings
C:\fda\pyDarwin\examples\THREELEVELS\0\6,4818.488249,01100,4718.488248737599,True,True,True,6,2,2,243.16111075688517,0,0,From saved model NM_0_6.mod: No important warnings
C:\fda\pyDarwin\examples\THREELEVELS\0\5,4826.515841,00100,4716.515840540628,True,True,True,7,2,2,252.36832739029063,0,0,From saved model NM_0_5.mod: No important warnings
C:\fda\pyDarwin\examples\THREELEVELS\0\7,4818.765553,10100,4738.7655425622415,True,True,True,4,2,2,50.81718176359398,0,0,From saved model NM_0_7.mod: No important warnings
C:\fda\pyDarwin\examples\THREELEVELS\0\8,4818.765543,11100,4738.7655425622415,True,True,True,4,2,2,50.81718176359398,0,0,From saved model NM_0_8.mod: No important warnings
C:\fda\pydarwin\examples\example3\0\27,2961.962531,40100,2935.9625310154242,True,True,True,6,5,2,17.761032828529977,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\38,3827.887044,01200,3703.8870437018827,False,True,True,5,5,2,82727.3129862954,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\5,3403.438824,20000,3383.4388239960945,True,True,True,4,4,2,-1.89651769680256e+16,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\25,3119.778307,30100,3093.7783074449408,True,True,True,6,5,2,21.3477631835988,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\9,2896.585811,40000,2872.5858113806908,True,True,True,5,5,2,21.339314836499053,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\29,2962.945088,50100,2932.9450881725106,True,True,True,7,6,2,65.88734767984255,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\7,3117.291569,30000,3093.2915693497475,True,True,True,5,5,2,21.33514385009972,0,0,No important warnings
C:\fda\pyDarwin\examples\THREELEVELS\0\9,4843.126919,00010,4713.126919208865,True,True,True,8,3,2,720.7435175920507,0,0,From saved model NM_0_9.mod: No important warnings
C:\fda\pyDarwin\examples\THREELEVELS\0\10,4828.487962,01010,4718.48795215258,True,True,True,6,3,2,223.67127418019066,0,0,From saved model NM_0_10.mod: No important warnings
C:\fda\pyDarwin\examples\THREELEVELS\0\11,4828.766585,10010,4738.766565146018,True,True,True,4,3,2,51.46080219457766,0,0,From saved model NM_0_11.mod: No important warnings
C:\fda\pyDarwin\examples\THREELEVELS\0\12,4828.766575,11010,4738.766565146018,True,True,True,4,3,2,51.46080219457766,0,0,From saved model NM_0_12.mod: No important warnings
C:\fda\pydarwin\examples\example3\0\37,4046.374095,00200,3726.374095449735,True,False,False,4,4,2,99999999999,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\26,3286.375887,31100,3156.3758873845636,False,True,True,7,6,2,716434.8932271902,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\43,3050.935544,30200,3022.935544347574,True,True,True,6,6,2,7243.2236628252185,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\23,3405.685128,20100,3383.6851276386387,True,True,True,5,4,2,9.796027218384927,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\39,3349.679162,10200,3329.6791617788103,True,True,True,4,4,2,668.7344511973437,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\41,3353.722232,20200,3329.7222320972464,True,True,True,5,5,2,453008542.15859586,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\46,2947.171300,41200,2815.1712996605147,False,True,True,7,7,2,733569.6222888717,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\10,2963.877435,41000,2935.877434823235,True,True,True,6,6,2,4154266262498.06,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\6,3458.619050,21000,3334.619050413446,False,True,True,5,5,2,484.4233646076666,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\11,2963.580559,50000,2935.5805585699404,True,True,True,6,6,2,1.1621329623826246e+16,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\45,3700.906378,40200,3672.906378237054,True,True,True,6,6,2,766257.5558949185,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\44,3229.570611,31200,3097.5706110991073,False,True,True,7,7,2,122045574.20988533,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\8,3182.375851,31000,3154.3758509868,True,True,True,6,6,2,3170803.724351983,0,0,No important warnings
C:\fda\pydarwin\examples\example3\0\24,3431.013488,21100,3305.013487905493,False,True,True,6,5,2,1442551.2998420508,0,0,No important warnings
C:\fda\pyDarwin\examples\THREELEVELS\0\13,4836.515577,00110,4716.515576572688,True,True,True,7,3,2,262.9718346174042,0,0,From saved model NM_0_13.mod: No important warnings
C:\fda\pyDarwin\examples\THREELEVELS\0\14,4828.487952,01110,4718.48795215258,True,True,True,6,3,2,223.67127418019066,0,0,From saved model NM_0_14.mod: No important warnings
C:\fda\pyDarwin\examples\THREELEVELS\0\15,4828.766575,10110,4738.766565146018,True,True,True,4,3,2,51.46080219457766,0,0,From saved model NM_0_15.mod: No important warnings
C:\fda\pyDarwin\examples\THREELEVELS\0\16,4828.766565,11110,4738.766565146018,True,True,True,4,3,2,51.46080219457766,0,0,From saved model NM_0_16.mod: No important warnings
C:\fda\pydarwin\examples\example3\0\40,3454.083143,11200,3330.083142525349,False,True,True,5,5,2,6928482.46876403,0,0,No important warnings
