Iteration,Model number,Run Directory,Fitness,Model,ofv,success,covar,correlation #,ntheta,nomega,nsigm,condition,RPenalty,PythonPenalty,NMTran messages
0,001,Example3\temp\0\001,3797.906664,00000,3781.9066641999057,True,True,True,3,3,2,363.55823219869137,0,0,No important warnings
0,002,Example3\temp\0\002,4027.401068,01000,4007.4010680658366,True,True,True,4,4,2,1706.2193209390664,0,0,No important warnings
0,003,Example3\temp\0\003,3399.549924,10000,3383.54992399095,True,True,True,3,3,2,9.622538727589886,0,0,No important warnings
0,004,Example3\temp\0\004,3503.631342,11000,3383.6313419891044,False,True,True,4,4,2,203867.43784306524,0,0,No important warnings
0,005,Example3\temp\0\005,3403.438824,20000,3383.4388239960945,True,True,True,4,4,2,-1.89651769680256e+16,0,0,No important warnings
0,006,Example3\temp\0\006,3458.619050,21000,3334.619050413446,False,True,True,5,5,2,484.4233646076666,0,0,No important warnings
0,007,Example3\temp\0\007,3117.291569,30000,3093.2915693497475,True,True,True,5,5,2,21.33514385009972,0,0,No important warnings
0,008,Example3\temp\0\008,3182.375851,31000,3154.3758509868,True,True,True,6,6,2,3170803.724351983,0,0,No important warnings
0,009,Example3\temp\0\009,2896.585811,40000,2872.5858113806908,True,True,True,5,5,2,21.339314836499053,0,0,No important warnings
0,010,Example3\temp\0\010,2963.877435,41000,2935.877434823235,True,True,True,6,6,2,4154266262498.06,0,0,No important warnings
0,011,Example3\temp\0\011,2963.580559,50000,2935.5805585699404,True,True,True,6,6,2,1.1621329623826246e+16,0,0,No important warnings
0,012,Example3\temp\0\012,3064.898491,51000,2932.8984913760096,False,True,True,7,7,2,474894747859871.9,0,0,No important warnings
0,013,Example3\temp\0\013,2941.883268,60000,2909.8832681212216,True,True,True,7,7,2,6547415126929346.0,0,0,No important warnings
0,014,Example3\temp\0\014,3176.052357,61000,3040.0523565968015,False,True,True,8,8,2,8095208.547017461,0,0,No important warnings
0,015,Example3\temp\0\015,2967.443972,70000,2935.4439720029177,True,True,True,7,7,2,32605.378351306055,0,0,No important warnings
0,016,Example3\temp\0\016,3067.436498,71000,2931.4364977634114,False,True,True,8,8,2,23064669.925323017,0,0,No important warnings
0,017,Example3\temp\0\017,2964.491469,80000,2928.4914692987195,True,True,True,8,8,2,3096.3196079887343,0,0,No important warnings
0,018,Example3\temp\0\018,3069.604105,81000,2929.6041050104686,False,True,True,9,9,2,144944.07033260312,0,0,No important warnings
0,019,Example3\temp\0\019,3799.804084,00100,3781.804084220018,True,True,True,4,3,2,81.93648725205884,0,0,No important warnings
0,020,Example3\temp\0\020,4208.188538,01100,3786.1885383049434,False,False,False,5,4,2,99999999999,0,0,No important warnings
0,021,Example3\temp\0\021,3401.711575,10100,3383.7115753002195,True,True,True,4,3,2,9.768147102268204,0,0,No important warnings
0,022,Example3\temp\0\022,3506.088051,11100,3384.088051093832,False,True,True,5,4,2,185320.8096065698,0,0,No important warnings
0,023,Example3\temp\0\023,3405.685128,20100,3383.6851276386387,True,True,True,5,4,2,9.796027218384927,0,0,No important warnings
0,024,Example3\temp\0\024,3431.013488,21100,3305.013487905493,False,True,True,6,5,2,1442551.2998420508,0,0,No important warnings
0,025,Example3\temp\0\025,3119.778307,30100,3093.7783074449408,True,True,True,6,5,2,21.3477631835988,0,0,No important warnings
0,026,Example3\temp\0\026,3286.375887,31100,3156.3758873845636,False,True,True,7,6,2,716434.8932271902,0,0,No important warnings
0,027,Example3\temp\0\027,2961.962531,40100,2935.9625310154242,True,True,True,6,5,2,17.761032828529977,0,0,No important warnings
0,028,Example3\temp\0\028,3067.625109,41100,2937.625108652682,False,True,True,7,6,2,140835.9283669304,0,0,No important warnings
0,029,Example3\temp\0\029,2962.945088,50100,2932.9450881725106,True,True,True,7,6,2,65.88734767984255,0,0,No important warnings
0,030,Example3\temp\0\030,3082.668680,51100,2948.66867986618,False,True,True,8,7,2,2298005.65863502,0,0,No important warnings
0,031,Example3\temp\0\031,2945.887592,60100,2911.88759232071,True,True,True,8,7,2,-1.4037768229790574e+16,0,0,No important warnings
