Iteration,Model.number,Run.Directory,Fitness,Model,ofv,success,covar,correlation..,ntheta,nomega,nsigm,condition,RPenalty,PythonPenalty,NMTran.messages
0,1,C:\Users\jcraig\pydarwin\Example7\temp\0\01,4847.702904,0,4717.702903971636,True,True,True,6,5,2,410.2972565552682,0,0,No important warnings
0,2,C:\Users\jcraig\pydarwin\Example7\temp\0\02,4877.204019,1000,4757.204018920563,True,True,True,5,5,2,138.89362720266692,0,0,No important warnings
0,3,C:\Users\jcraig\pydarwin\Example7\temp\0\03,4838.49276,10000,4718.492760373933,True,True,True,6,4,2,215.96026015225985,0,0,No important warnings
0,4,C:\Users\jcraig\pydarwin\Example7\temp\0\04,4867.283025,11000,4757.283025254141,True,True,True,5,4,2,121.50436114219077,0,0,No important warnings
0,5,C:\Users\jcraig\pydarwin\Example7\temp\0\05,4847.702904,100,4717.702903971636,True,True,True,6,5,2,410.2972565552682,0,0,No important warnings
0,6,C:\Users\jcraig\pydarwin\Example7\temp\0\06,4877.204019,1100,4757.204018920563,True,True,True,5,5,2,138.89362720266692,0,0,No important warnings
0,7,C:\Users\jcraig\pydarwin\Example7\temp\0\07,4838.49276,10100,4718.492760373933,True,True,True,6,4,2,215.96026015225985,0,0,No important warnings
0,8,C:\Users\jcraig\pydarwin\Example7\temp\0\08,4867.283025,11100,4757.283025254141,True,True,True,5,4,2,121.50436114219077,0,0,No important warnings
0,9,C:\Users\jcraig\pydarwin\Example7\temp\0\09,4847.702904,10,4717.702903971636,True,True,True,6,5,2,410.2972565552682,0,0,No important warnings
0,10,C:\Users\jcraig\pydarwin\Example7\temp\0\10,4877.204019,1010,4757.204018920563,True,True,True,5,5,2,138.89362720266692,0,0,No important warnings
0,11,C:\Users\jcraig\pydarwin\Example7\temp\0\11,4838.49276,10010,4718.492760373933,True,True,True,6,4,2,215.96026015225985,0,0,No important warnings
0,12,C:\Users\jcraig\pydarwin\Example7\temp\0\12,4867.283025,11010,4757.283025254141,True,True,True,5,4,2,121.50436114219077,0,0,No important warnings
0,13,C:\Users\jcraig\pydarwin\Example7\temp\0\13,4852.75652,110,4712.75651960788,True,True,True,6,6,2,429.9419641224331,0,0,No important warnings
0,14,C:\Users\jcraig\pydarwin\Example7\temp\0\14,4883.802347,1110,4753.802347229743,True,True,True,5,6,2,119.96732581086289,0,0,No important warnings
0,15,C:\Users\jcraig\pydarwin\Example7\temp\0\15,4843.037421,10110,4713.037420869433,True,True,True,6,5,2,267.79104807079807,0,0,No important warnings
0,16,C:\Users\jcraig\pydarwin\Example7\temp\0\16,4873.801299,11110,4753.801299273964,True,True,True,5,5,2,119.02317552996738,0,0,No important warnings
0,17,C:\Users\jcraig\pydarwin\Example7\temp\0\17,4847.702904,1,4717.702903971636,True,True,True,6,5,2,410.2972565552682,0,0,No important warnings
0,18,C:\Users\jcraig\pydarwin\Example7\temp\0\18,4877.204019,1001,4757.204018920563,True,True,True,5,5,2,138.89362720266692,0,0,No important warnings
0,19,C:\Users\jcraig\pydarwin\Example7\temp\0\19,4838.49276,10001,4718.492760373933,True,True,True,6,4,2,215.96026015225985,0,0,No important warnings
0,20,C:\Users\jcraig\pydarwin\Example7\temp\0\20,4867.283025,11001,4757.283025254141,True,True,True,5,4,2,121.50436114219077,0,0,No important warnings
0,21,C:\Users\jcraig\pydarwin\Example7\temp\0\21,4857.651199,101,4717.651198509312,True,True,True,6,6,2,839.4410620537972,0,0,No important warnings
0,22,C:\Users\jcraig\pydarwin\Example7\temp\0\22,4883.633009,1101,4753.633009366473,True,True,True,5,6,2,-30929841364621032,0,0,No important warnings
0,23,C:\Users\jcraig\pydarwin\Example7\temp\0\23,4838.49276,10101,4718.492760373933,True,True,True,6,4,2,215.96026015225985,0,0,No important warnings
0,24,C:\Users\jcraig\pydarwin\Example7\temp\0\24,4867.283025,11101,4757.283025254141,True,True,True,5,4,2,121.50436114219077,0,0,No important warnings
0,25,C:\Users\jcraig\pydarwin\Example7\temp\0\25,4847.702904,11,4717.702903971636,True,True,True,6,5,2,410.2972565552682,0,0,No important warnings
0,26,C:\Users\jcraig\pydarwin\Example7\temp\0\26,4877.204019,1011,4757.204018920563,True,True,True,5,5,2,138.89362720266692,0,0,No important warnings
0,27,C:\Users\jcraig\pydarwin\Example7\temp\0\27,4838.49276,10011,4718.492760373933,True,True,True,6,4,2,215.96026015225985,0,0,No important warnings
0,28,C:\Users\jcraig\pydarwin\Example7\temp\0\28,4867.283025,11011,4757.283025254141,True,True,True,5,4,2,121.50436114219077,0,0,No important warnings
0,29,C:\Users\jcraig\pydarwin\Example7\temp\0\29,4862.236663,111,4712.236663344508,True,True,True,6,7,2,376.0493147324396,0,0,No important warnings
0,30,C:\Users\jcraig\pydarwin\Example7\temp\0\30,4892.376632,1111,4752.376631504933,True,True,True,5,7,2,14637677484443046,0,0,No important warnings
0,31,C:\Users\jcraig\pydarwin\Example7\temp\0\31,4843.037421,10111,4713.037420668519,True,True,True,6,5,2,251.44725371296602,0,0,No important warnings
0,32,C:\Users\jcraig\pydarwin\Example7\temp\0\32,4873.80131,11111,4753.801309684602,True,True,True,5,5,2,88.2872988143404,0,0,No important warnings
