Iteration,Model number,Run Directory,Fitness,Model,ofv,success,covar,correlation #,ntheta,nomega,nsigm,condition,RPenalty,PythonPenalty,NMTran messages
0,01,/home/CertaraUser/pydarwin/Example8/temp/0/01,-2167.37421,110111112,-2537.374210350167,TRUE,FALSE,FALSE,9,3,2,99999999999,0,0,No important warnings
0,02,/home/CertaraUser/pydarwin/Example8/temp/0/02,-319.151577,010010110,-769.1515770292683,FALSE,FALSE,FALSE,6,3,1,99999999999,0,0,No important warnings
0,03,/home/CertaraUser/pydarwin/Example8/temp/0/03,-423.685553,010111020,-783.6855533530852,TRUE,FALSE,FALSE,8,3,1,99999999999,0,0,No important warnings
0,04,/home/CertaraUser/pydarwin/Example8/temp/0/04,-2175.043695,110100021,-2530.0436953144795,TRUE,FALSE,FALSE,7,3,1,99999999999,0,0,No important warnings
0,05,/home/CertaraUser/pydarwin/Example8/temp/0/05,-2407.355016,101101111,-2767.355015901653,TRUE,FALSE,FALSE,8,3,1,99999999999,0,0,No important warnings
0,06,/home/CertaraUser/pydarwin/Example8/temp/0/06,-2173.124967,110001022,-2533.12496690035,TRUE,FALSE,FALSE,7,3,2,99999999999,0,0,No important warnings
0,07,/home/CertaraUser/pydarwin/Example8/temp/0/07,-720.998678,011101020,-1080.998678188184,TRUE,FALSE,FALSE,8,3,1,99999999999,0,0,No important warnings
0,08,/home/CertaraUser/pydarwin/Example8/temp/0/08,-2150.522076,000111012,-2505.5220763719385,TRUE,FALSE,FALSE,7,2,2,99999999999,0,0,No important warnings
0,09,/home/CertaraUser/pydarwin/Example8/temp/0/09,-729.066496,010010000,-769.0664959409103,TRUE,TRUE,TRUE,5,2,1,58.39788630224883,0,0,No important warnings
0,10,/home/CertaraUser/pydarwin/Example8/temp/0/10,-1052.096371,111101010,-1112.096370843631,TRUE,TRUE,TRUE,9,2,1,30.12698331047265,0,0,No important warnings
1,01,/home/CertaraUser/pydarwin/Example8/temp/1/01,-409.532207,100111020,-769.5322068810171,TRUE,FALSE,FALSE,8,3,1,99999999999,0,0,No important warnings
