iteration,model number,run directory,ref run,status,fitness,model,ofv,success,covariance,correlation,ntheta,nomega,nsigm,total number of parameters, condition num,r penalty,python penalty,translation messages,runtime errors
01,1,C:\Users\xli267\pydarwin\MOGA_test1\temp\01\1,,Done,9893.481704,21111111010101010110,9803.481704149386,True,True,True,5,3,1, 9,7.225657723865975,0,0,,
01,2,C:\Users\xli267\pydarwin\MOGA_test1\temp\01\2,,Done,8482.840026,10001110110001001000,8302.840015671498,True,True,True,11,6,1, 18,7.8832305226323225,0,0,,
01,3,C:\Users\xli267\pydarwin\MOGA_test1\temp\01\3,,Done,9883.146142,21101111011110100110,9803.146132441096,True,True,True,4,3,1, 8,1.897198814930063,0,0,,
01,4,C:\Users\xli267\pydarwin\MOGA_test1\temp\01\4,,Done,9846.534893,20000001101101000001,9736.534803166956,True,True,True,5,4,2, 11,7.987269034472605,0,0,,
01,5,C:\Users\xli267\pydarwin\MOGA_test1\temp\01\5,,Done,9889.392999,21000101011001010010,9799.392948620749,True,True,True,5,3,1, 9,7.369619980396301,0,0,,
01,6,C:\Users\xli267\pydarwin\MOGA_test1\temp\01\6,,Done,8465.604788,10001100100001111100,8315.604758118148,True,True,True,9,5,1, 15,6.636280754206161,0,0,,
01,7,C:\Users\xli267\pydarwin\MOGA_test1\temp\01\7,,Done,8342.704186,01100010101000111111,8152.704186070774,True,True,True,13,4,2, 19,7.71544408706891,0,0,,
01,8,C:\Users\xli267\pydarwin\MOGA_test1\temp\01\8,,Done,8342.172442,01100110100011001111,8152.1724420574255,True,True,True,13,4,2, 19,7.386094657309895,0,0,,
01,9,C:\Users\xli267\pydarwin\MOGA_test1\temp\01\9,,Done,8608.151351,01001000111010110100,8118.151351393549,False,True,False,12,6,1, 19,82019045184226.62,0,0,,
01,10,C:\Users\xli267\pydarwin\MOGA_test1\temp\01\10,,Done,8439.160461,11000011000000110000,8279.160431440954,True,True,True,9,6,1, 16,6.238870800275528,0,0,,
01,11,C:\Users\xli267\pydarwin\MOGA_test1\temp\01\11,,Done,9850.837571,21110100111101000001,9730.837531130128,True,True,True,6,4,2, 12,7.803526745537205,0,0,,
01,12,C:\Users\xli267\pydarwin\MOGA_test1\temp\01\12,,Done,8310.318619,01101010100100110010,8120.318618970206,True,True,True,13,5,1, 19,6.7468503047117645,0,0,,
01,13,C:\Users\xli267\pydarwin\MOGA_test1\temp\01\13,,Done,9894.248129,20000100000010111110,9804.248069056426,True,True,True,6,2,1, 9,6.577232954402112,0,0,,
01,14,C:\Users\xli267\pydarwin\MOGA_test1\temp\01\14,,Done,9868.886729,20111000011000000001,9728.886688899862,True,True,True,8,4,2, 14,8.684049234536069,0,0,,
01,15,C:\Users\xli267\pydarwin\MOGA_test1\temp\01\15,,Done,9841.149797,21101000011110100111,9741.14976748603,True,True,True,5,3,2, 10,3.0523128843732934,0,0,,
01,16,C:\Users\xli267\pydarwin\MOGA_test1\temp\01\16,,Done,9859.193553,21101011011000101001,9749.193523363032,True,True,True,6,3,2, 11,8.063482167155978,0,0,,
01,17,C:\Users\xli267\pydarwin\MOGA_test1\temp\01\17,,Done,9894.767156,20000001000010011010,9804.76707597453,True,True,True,6,2,1, 9,4.688753277345985,0,0,,
